handle,possibly_sensitive_avg_of_nonreply_tweets,is_retweet_avg_of_nonreply_tweets,contains_quote_avg_of_nonreply_tweets,num_referenced_tweets_avg_of_nonreply_tweets,num_hashtags_avg_of_nonreply_tweets,num_mentions_avg_of_nonreply_tweets,num_cashtags_avg_of_nonreply_tweets,num_polls_avg_of_nonreply_tweets,interaction_score_avg_of_nonreply_tweets,lang_mode_of_nonreply_tweets,reply_settings_mode_of_nonreply_tweets,source_mode_of_nonreply_tweets,possibly_sensitive_avg_of_reply_tweets,is_retweet_avg_of_reply_tweets,contains_quote_avg_of_reply_tweets,num_referenced_tweets_avg_of_reply_tweets,num_hashtags_avg_of_reply_tweets,num_mentions_avg_of_reply_tweets,num_cashtags_avg_of_reply_tweets,num_polls_avg_of_reply_tweets,tweet_word_count_avg_of_reply_tweets,lang_mode_of_reply_tweets,reply_settings_mode_of_reply_tweets,source_mode_of_reply_tweets,replyPercentage,following_count,verified,protected,created_at,hasPinnedTweet,urlsInDescription,hashtagsInDescription,userWebsitesAdded,cashtagsInDescription,mentionsInDescription
SUBWAY,0.0,0.03625,0.05,0.15875,0.42875,0.18625,0.0,0.10125,0.00018652263899129664,en,everyone,Twitter Web App,0.0,0.0,0.0125,0.875,0.2875,0.9375,0.0,0.0125,14.1375,en,everyone,Khoros CX,0.8625,29901,True,False,2009-02-11T21:59:01.000Z,False,0,0,1,0,1
SaltgrassSteak,0.0,0.00375,0.0,0.00375,1.68,0.03875,0.0,0.0,0.002056264092446398,en,everyone,Sprinklr Publisher,0.0,0.0,0.0,0.025,8.2375,0.0375,0.0,0.0,27.8125,en,everyone,Sprinklr Publisher,0.025,560,False,False,2010-06-14T16:25:19.000Z,False,0,0,1,0,0
Schlotzskys,0.0,0.0125,0.0125,0.03125,0.95375,0.05625,0.0,0.00625,0.0010804712793089032,en,everyone,Twitter Web App,0.0,0.0,0.0,0.9375,0.0125,1.05,0.0,0.0,9.4625,en,everyone,Sprout Social,0.9375,18747,True,False,2008-12-30T00:38:15.000Z,False,0,0,1,0,0
ShakeysUSA,0.0,0.04375,0.075,0.1775,0.96,0.14125,0.0,0.00625,0.0010236402966625057,en,everyone,Sprinklr Publishing,0.0,0.1125,0.1125,0.3375,1.725,0.6625,0.0,0.0,16.9375,en,everyone,Agorapulse app,0.1125,1179,False,False,2009-06-23T18:28:54.000Z,False,0,0,1,0,0
SmoothieKing,0.0,0.042606516290726815,0.020050125313283207,0.06265664160401002,0.6842105263157895,0.2894736842105263,0.0,0.0,0.0007383898840585576,en,everyone,Sprout Social,0.0,0.025,0.0,0.9,0.025,0.9625,0.0,0.0,5.7875,und,everyone,Twitter for iPhone,0.875,1272,True,False,2008-03-31T04:56:14.000Z,True,1,1,1,0,0
Starbucks,0.0,0.26962025316455696,0.03291139240506329,0.3911392405063291,0.2468354430379747,0.41265822784810124,0.0,0.035443037974683546,0.00027671067270852723,en,everyone,Twitter Web App,0.0,0.0125,0.0,0.975,0.0,1.0,0.0,0.0,8.525,en,everyone,Khoros CX US,0.9625,90761,True,False,2006-11-29T19:19:02.000Z,False,0,0,1,0,0
SteaknShake,0.0,0.035,0.03125,0.10125,0.6275,0.465,0.0,0.02125,0.00018718356249896006,en,everyone,Hootsuite Inc.,0.0,0.0,0.0625,0.525,0.1375,0.775,0.0,0.0,18.9375,en,everyone,Twitter Web App,0.4625,82,True,False,2012-04-30T21:20:23.000Z,False,0,0,1,0,0
TGIFridays,0.0,0.01,0.00875,0.01875,2.52875,0.13,0.0,0.01125,0.00012651046605260708,en,everyone,Sprinklr Publishing,0.0,0.0,0.0,0.8,0.5,1.0625,0.0,0.0,27.875,en,everyone,Sprinklr Publishing,0.8,7251,True,False,2010-06-21T21:10:28.000Z,True,0,0,1,0,0
TSmoothieCafe,0.0,0.15796178343949044,0.10828025477707007,0.2751592356687898,0.6025477707006369,0.39872611464968155,0.0025477707006369425,0.003821656050955414,0.01128433795649467,en,everyone,LaterMedia,0.0,0.0,0.0375,0.85,0.05,0.8875,0.0,0.0125,25.8125,en,everyone,Sprinklr,0.8125,41,True,False,2009-06-24T18:39:06.000Z,False,0,1,1,0,0
TimHortons,0.0,0.14,0.08625,0.38,0.57625,0.43125,0.0,0.0225,0.0004174217836336459,en,everyone,Twitter Web App,0.0,0.0,0.0,0.95,0.025,0.95,0.0,0.0,27.125,en,everyone,Sprinklr,0.95,2695,True,False,2011-09-29T16:27:51.000Z,False,0,0,1,0,0
WaffleHouse,0.0,0.19395465994962216,0.1397984886649874,0.36397984886649876,0.2972292191435768,0.6586901763224181,0.0,0.0012594458438287153,0.004688731458369735,en,everyone,Sprinklr,0.0,0.0125,0.0,0.9375,0.0,1.0375,0.0,0.0,11.9625,en,everyone,Sprinklr,0.925,4986,True,False,2009-03-05T15:45:44.000Z,True,0,0,1,0,0
Wendys,0.0,0.07259073842302878,0.21151439299123906,0.38172715894868586,0.16896120150187735,0.24155193992490614,0.0,0.02002503128911139,0.004095523431668087,en,everyone,Twitter Web App,0.0,0.0,0.0,0.9875,0.0,1.0375,0.0,0.0,22.4375,en,everyone,Salesforce - Social Studio,0.9875,444,True,False,2009-07-23T18:54:01.000Z,False,0,0,1,0,0
Whataburger,0.0,0.08281053952321205,0.05269761606022585,0.1656210790464241,0.20200752823086573,0.26474278544542035,0.0,0.010037641154328732,0.0033229865620554686,en,everyone,Twitter Web Client,0.0,0.0,0.0125,0.9375,0.0,1.25,0.0,0.0,12.7625,en,everyone,TweetDeck,0.925,184870,True,False,2011-08-11T13:58:37.000Z,False,0,1,1,0,0
